NHSD_Code,Display,Definition,SNOMED-CT-AU_Expression,Mapping_rating,Comments,Submit for inclusion into SNOMED-CT-AU?
  2539-12,Emergency Medicine Specialist / Emergency Physician,Emergency Medicine Specialist / Emergency Physician,309294001,4,,Y
    2539-12-0,Emergency Medicine Specialist,Emergency Medicine Specialist,309294001,4,,
  2539-13,Obstetrician and Gynaecologist,Obstetrician and Gynaecologist,309367003,1,,
    2539-13-1,Gynaecological Oncologist,Gynaecological Oncologist,,5,Has previously been submitted for inclusion to  SNOMED-CT-AU,
    2539-13-3,Urogynaecologist,Urogynaecologist,,5,Has previously been submitted for inclusion to  SNOMED-CT-AU,
    2539-13.0,Obstetrician and Gynaecologist,Obstetrician and Gynaecologist,309367003,1,,
    2539-13.6,Gynaecologist,Gynaecologist,83685006,1,,
  2539-14,Ophthalmologist / Eye Specialist/ Eye Surgeon,Ophthalmologist / Eye Specialist/ Eye Surgeon,422234006,2,,
    2539-14-0,Ophthalmologist / Eye Specialist/ Eye Surgeon,Ophthalmologist / Eye Specialist/ Eye Surgeon,422234006,2,,
  2539-15,Pathologist,Pathologist,61207006 ,2,,
    2539-15-1,Clinical Cytopathologist,Clinical Cytopathologist,,5,,Y
    2539-15-2,Forensic Pathologist,Forensic Pathologist,,5,,Y
    2539-15-3,General Anatomic Pathologist,General Anatomic Pathologist,83273008 ,2,,
    2539-15-8,Medical Microbiologist,Medical Microbiologist,14698002,1,,
    2539-15.10,Histopathologist,Histopathologist,309342001,1,,
    2539-15.11,Haematologist,Haematologist,40204001,1,,
    2539-15.0,Pathologist,Pathologist,61207006 ,2,,
  2539-17,Diagnostic and Interventional Radiologist,Diagnostic and Interventional Radiologist,66862007 ,2,,
    2539-17-1,Diagnostic Radiologist,Diagnostic Radiologist,78729002,1,,
    2539-17-3,Nuclear Medicine Specialist,Nuclear Medicine Specialist,80933006,1,,
  2539-18,Radiation Oncologist,Radiation Oncologist,,5,,Y
    2539-18-1,Radiation Oncologist,Radiation Oncologist,,5,,Y
  2539-99,Medical Practitioners nec,Medical Practitioners nec,158965000 ,2,snomed abhors nec!,
    2539-99.0,Medical Practitioners nec,Medical Practitioners nec,158965000 ,2,,
    2539-99-1,Occupational Medicine and Environmental Specialist,Occupational Medicine and Environmental Specialist,158973009 ,2,,
    2539-99-2,Public Health Physician,Public Health Physician,56466003,1,,
    2539-99-3,Sports Physician,Sports Physician,,5,Has previously been submitted for inclusion to  SNOMED-CT-AU,
    2539-99.5,Non Clinical Specialist,Non Clinical Specialist,,6,,
    2539-99.1,Sonologist,Sonologist,,5,Has previously been submitted for inclusion to  SNOMED-CT-AU,
2540,Midwifery and Nursing Professionals,Midwifery and Nursing Professionals,158992006 ,2,,
  2540-00,Midwifery and Nursing Professionals nfd (Australian use only),Midwifery and Nursing Professionals nfd (Australian use only),158992006 ,2,,
    2540-00-0,Midwifery and Nursing Professionals nfd,Midwifery and Nursing Professionals nfd,158992006 ,2,,
2541,Midwives,Midwives,158992006 ,2,,
  2541-11,Midwife/Certified Midwife/Registered Midwife,Midwife/Certified Midwife/Registered Midwife,158992006 ,2,,
    2541-11-1,Community Midwife,Community Midwife,158999002,1,,
    2541-11-2,Midwife Practitioner,Midwife Practitioner,158992006 ,2,,
2544,Registered Nurses,Registered Nurses,224535009 ,2,,
  2544-11,Nurse Practitioner,Nurse Practitioner,224571005,1,,
    2544-11-0,Nurse Practitioner,Nurse Practitioner,224571005,1,,
  2544-16,Registered Nurse (Developmental Disability),Registered Nurse (Developmental Disability),224535009 ,4,,
    2544-16.0,Registered Nurse (Developmental Disability),Registered Nurse (Developmental Disability),224535009 ,4,,
  2544-18,Registered Nurse (Medical),Registered Nurse (Medical),224570006,3,,
    2544-18-0,Registered Nurse (Medical),Registered Nurse (Medical),224570006,2,,
  2544-21,Registered Nurse (Medical Practice)/Practice Nurse,Registered Nurse (Medical Practice)/Practice Nurse,159002008 ,2,,
    2544-21.1,Registered Nurse (Medical Practice)/Practice Nurse,Registered Nurse (Medical Practice)/Practice Nurse,159002008 ,2,,
  2544-22,Registered Nurse (Mental Health)/Phychiatric,Registered Nurse (Mental Health)/Phychiatric,224563006 ,2,,
    2544-22.5,Registered Nurse (Mental Health)/Psychiatric,Registered Nurse (Mental Health)/Psychiatric,224563006 ,2,,
2721,Counsellors,Counsellors,224595007,2,,
  2721-11,Careers Counsellor,Careers Counsellor,224595007,3,,
    2721-11.0,Careers Counsellor,Careers Counsellor,224595007,3,,
  2721-12,Drug and Alcohol Counsellor,Drug and Alcohol Counsellor,224595007,3,,
    2721-12-0,Drug and Alcohol Counsellor,Drug and Alcohol Counsellor,224595007,3,,
  2721-13,Family and Marriage Counsellor,Family and Marriage Counsellor,224596008 ,2,,
    2721-13-0,Family Mediator/Family and Marriage Counsellor,Family Mediator/Family and Marriage Counsellor,224595007,3,,
  2721-14,Rehabilitation Counsellor,Rehabilitation Counsellor,224595007,3,,
    2721-14-0,Rehabilitation Counsellor,Rehabilitation Counsellor,224595007,3,,
  2721-99,Counsellors nec,Counsellors nec,224595007,2,,
    2721-99-0,Counsellors nec,Counsellors nec,224595007,2,,
    2721-99.8,Family Therapist,Family Therapist,224595007,3,,
  2721-15,Student Counsellor,Student Counsellor,224595007,3,,
    2721-15.0,Student Counsellor,Student Counsellor,224595007,3,,
2723,Psychologists,Psychologists,59944000 ,2,,
  2723-11,Clinical Psychologist,Clinical Psychologist,310191001,1,,
    2723-11.0,Clinical Psychologist,Clinical Psychologist,310191001,1,,
  2723-12,Educational Psychologist,Educational Psychologist,310192008,1,,
    2723-12-0,Educational Psychologist,Educational Psychologist,310192008,1,,
  2723-13,Organisational Psychologist,Organisational Psychologist,,5,,Y
    2723-13-0,Organisational Psychologist,Organisational Psychologist,,5,,Y
  2723-14,Psychotherapist,Psychotherapist,224588003,1,,
    2723-14-0,Psychotherapist,Psychotherapist,224588003,1,,
  2723-99,Psychologists nec,Psychologists nec,59944000 ,2,,
    2723-99-0,Psychologists nec,Psychologists nec,59944000 ,2,,
2725,Social Workers,Social Workers,106328005 ,2,,
  2725-11,Social Worker,Social Worker,106328005 ,1,,
    2725-11.1,Mental Health Social Worker,Mental Health Social Worker,80292009 ,2,,
    2725-11-0,Social Worker,Social Worker,106328005 ,1,,
3999,Other Miscellaneous Technicians and Trades Workers,Other Miscellaneous Technicians and Trades Workers,,6,,
  3999-13,Optical Dispenser / Dispensing Optician,Optical Dispenser / Dispensing Optician,,5,,Y
    3999-13-0,Optical Dispenser,Optical Dispenser,,5,,Y
4110,Health and Welfare Support Workers,Health and Welfare Support Workers,,5,,Y
  4110-00,Health and Welfare Support Workers nfd (Australian use only),Health and Welfare Support Workers nfd (Australian use only),,6,,
    4110-00-0,Health and Welfare Support Workers nfd,Health and Welfare Support Workers nfd,,6,,
4112,"Dental Hygienists, Technicians and Therapists","Dental Hygienists, Technicians and Therapists",,6,,
  4112-11,Dental Hygienist,Dental Hygienist,26042002,1,,
    4112-11-0,Dental Hygienist,Dental Hygienist,26042002,1,,
  4112-13,Dental Technician,Dental Technician,160008000,1,,
    4112-13.0,Dental Technician,Dental Technician,160008000,1,,
  4112-14,Dental Therapist,Dental Therapist,,5,https://www.adansw.com.au/Careers/Dental-Therapist.aspx,Y
    4112-14-0,Dental Therapist,Dental Therapist,,5,https://www.adansw.com.au/Careers/Dental-Therapist.aspx,Y
4113,Diversional Therapists,Diversional Therapists,,5,http://diversionaltherapy.org.au/About-DTA/What-is-DT,Y
  4113-11,Diversional Therapist,Diversional Therapist,,5,http://diversionaltherapy.org.au/About-DTA/What-is-DT,Y
    4113-11-0,Diversional Therapist,Diversional Therapist,,5,http://diversionaltherapy.org.au/About-DTA/What-is-DT,Y
4115,Indigenous Health Workers,Indigenous Health Workers,826241000168109 ,2,,
  4115-11,Aboriginal and Torres Strait Islander Health Worker,Aboriginal and Torres Strait Islander Health Worker,826241000168109 ,2,,
    4115-11-0,Aboriginal and Torres Strait Islander Health Worker,Aboriginal and Torres Strait Islander Health Worker,826241000168109 ,2,,
4116,Massage Therapists,Massage Therapists,826281000168104 ,2,,
  4116-11,Massage Therapist,Massage Therapist,826281000168104 ,1,,
    4116-11-0,Massage Therapist,Massage Therapist,826281000168104 ,1,,
4117,Welfare Support Workers,Welfare Support Workers,265935008 ,2,,
  4117-11,Community Worker,Community Worker,,5,,Y
    4117-11.0,Community Worker,Community Worker,,5,,Y
  4117-12,Disabilities Services Officer,Disabilities Services Officer,,5,,Y
    4117-12.0,Disabilities Services Officer,Disabilities Services Officer,,5,,Y
  4117-16,Youth Worker,Youth Worker,,5,youth leader as a concept prob could be replaced,Y
    4117-16.0,Youth Worker,Youth Worker,,5,youth leader as a concept prob could be replaced,Y
  4117-15,Residential Care Officer,Residential Care Officer,,5,this whole subhierarchy needs modelling in SNOMED-CT-AU,Y
    4117-15.0,Residential Care Officer,Residential Care Officer,,5,this whole subhierarchy needs modelling in SNOMED-CT-AU,Y
  4117-13,Family Support Worker,Family Support Worker,,5,this whole subhierarchy needs modelling in SNOMED-CT-AU,Y
    4117-13.0,Family Support Worker,Family Support Worker,,5,this whole subhierarchy needs modelling in SNOMED-CT-AU,Y
  4117-14,Parole or Probation Officer,Parole or Probation Officer,158936006,2,,
    4117-14.0,Parole or Probation Officer,Parole or Probation Officer,158936006,2,,
4211,Child Carers,Child Carers,,5,"""child care officer"" is under welfare so not the same thing",Y
  4211-11,Child Care Worker,Child Care Worker,,5,,Y
    4211-11.0,Child Care Worker,Child Care Worker,,5,,Y
  4211-12,Family Day Care Worker,Family Day Care Worker,,5,,Y
    4211-12.0,Family Day Care Worker,Family Day Care Worker,,5,,Y
4231,Aged or Disabled Carer,Aged or Disabled Carer,,5,,Y
  4231-11,Aged or Disabled Carer,Aged or Disabled Carer,,5,,Y
    4231-11-2,Personal Carer,Personal Carer,229774002 ,2,,
    4231-11-4,Aged or Disabled Carer Worker,Aged or Disabled Carer Worker,,5,,Y
4233,Nursing Support and Personal Care Workers,Nursing Support and Personal Care Workers,,6,,
  4233-13,Personal Care Assistant,Personal Care Assistant,224576000 ,2,,
    4233-13-0,Personal Care Assistant,Personal Care Assistant,224576000 ,2,,
4234,Special Care Workers,Special Care Workers,,6,,
  4234-11,Child or Youth Residential Care Assistant,Child or Youth Residential Care Assistant,158943000 ,2,,
    4234-11.0,Child or Youth Residential Care Assistant,Child or Youth Residential Care Assistant,158943000 ,2,,
  4234-13,Refuge Worker,Refuge Worker,,5,,Y
    4234-13.0,Refuge Worker,Refuge Worker,,5,,Y
  4234-12,Hostel Parent,Hostel Parent,,5,,
    4234-12.0,Hostel Parent,Hostel Parent,,5,,
4515,Personal Care Consultants,Personal Care Consultants,,6,,
  4515-11,Natural Remedy Consultant,Natural Remedy Consultant,,6,,
    4515-11-0,Natural Remedy Consultant,Natural Remedy Consultant,,6,,
    4515-11-5,Kinesiologist,Kinesiologist,,5,,Y
  4515-12,Weight Loss Consultant,Weight Loss Consultant,,6,,
    4515-12-0,Weight Loss Consultant,Weight Loss Consultant,,6,,
4521,Fitness Instructors,Fitness Instructors,,5,,Y
  4521-11,Fitness Instructor,Fitness Instructor,,5,,Y
    4521-11-3,Physical Fitness Trainer,Physical Fitness Trainer,,5,,Y
2231,Human Resource Professionals,Human Resource Professionals,,5,,Y
  2231-12,Recruitment Consultant,Recruitment Consultant,,5,,Y
    2231-12.0,Recruitment Consultant,Recruitment Consultant,,5,,Y
2415,Special Education Teachers,Special Education Teachers,106309003 ,2,,
  2415-11,Special Needs Teacher,Special Needs Teacher,106309003 ,2,,
    2415-11.0,Special Needs Teacher,Special Needs Teacher,106309003 ,2,,
  2415-99,Special Education Teachers nec,Special Education Teachers nec,106309003 ,2,,
    2415-99.0,Special Education Teachers nec,Special Education Teachers nec,106309003 ,2,,
  2415-12,Teacher of the Hearing Impaired,Teacher of the Hearing Impaired,310197002 ,1,,
    2415-12.0,Teacher of the Hearing Impaired,Teacher of the Hearing Impaired,310197002 ,1,,
  2415-13,Teacher of the Sight Impaired,Teacher of the Sight Impaired,34718002 ,2,add synonym,Y
    2415-13.0,Teacher of the Sight Impaired,Teacher of the Sight Impaired,34718002 ,2,add synonym,Y
2722,Ministers of Religion,Ministers of Religion,11015003 ,2,,
  2722-11,Minister of Religion,Minister of Religion,11015003 ,1,,
    2722-11.0,Minister of Religion,Minister of Religion,11015003 ,1,,
2711,Barristers,Barristers,307790001,2,,
  2711-11,Barrister,Barrister,307790001,1,,
    2711-11.0,Barrister,Barrister,307790001,1,,
2713,Solicitors,Solicitors,158762005 ,2,,
  2713-11,Solicitor,Solicitor,158762005 ,1,,
    2713-11.0,Solicitor,Solicitor,158762005 ,1,,
2712,Judicial and Other Legal Professionals,Judicial and Other Legal Professionals,271554005,2,,
  2712-99,Judicial and Other Legal Professionals nec,Judicial and Other Legal Professionals nec,271554005,2,,
    2712-99.0,Judicial and Other Legal Professionals nec,Judicial and Other Legal Professionals nec,271554005,2,,
4522,Outdoor Adventure Guides,Outdoor Adventure Guides,,5,,
  4522-00,Outdoor Adventure Guides,Outdoor Adventure Guides,,5,,
    4522-00.0,Outdoor Adventure Guides,Outdoor Adventure Guides,,5,,
2411,Early Childhood (Pre-primary School) Teachers,Early Childhood (Pre-primary School) Teachers,106308006,2,,
  2411-11,Early Childhood (Pre-primary School) Teacher,Early Childhood (Pre-primary School) Teacher,106308006,2,,
    2411-11.0,Early Childhood (Pre-primary School) Teacher,Early Childhood (Pre-primary School) Teacher,106308006,2,,
2414,Secondary School Teachers,Secondary School Teachers,158903005 ,1,,
  2414-11,Secondary School Teacher,Secondary School Teacher,158903005 ,1,,
    2414-11.0,Secondary School Teacher,Secondary School Teacher,158903005 ,1,,
4221,Education Aides,Education Aides,,6,,
  4221-16,Teachers' Aide,Teachers' Aide,,5,,Y
    4221-16.0,Teachers' Aide,Teachers' Aide,,5,,Y
1343,School Principals,School Principals,80407007 ,2,,
  1343-11,School Principal,School Principal,80407007 ,2,,
    1343-11.1,Primary School Principal,Primary School Principal,,5,,Y
    1343-11.2,Secondary School Principal,Secondary School Principal,,5,,Y
2492,Private Tutors and Teachers,Private Tutors and Teachers,307979002 ,3,,
  2492-99,Private Tutors and Teachers nec,Private Tutors and Teachers nec,307979002 ,3,,
    2492-99.0,Private Tutors and Teachers nec,Private Tutors and Teachers nec,307979002 ,3,,
2412,Primary School Teachers,Primary School Teachers,106307001 ,2,,
  2412-13,Primary School Teacher,Primary School Teacher,106307001 ,2,,
    2412-13.0,Primary School Teacher,Primary School Teacher,106307001 ,2,,
9999,Other,Other,,6,,
  9999.99,Other,Other,,6,,
    9999.99.0,Other,Other,,6,,
